n_estimators,max_depth,learning_rate,multi_task_strategy,mse_0,mse_1,mse_2,mse_3,mse_4,mse_5,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5
10,1,0.1,multi_output_tree,5788.0845,23988.953,13441.161,11447.857,7062.9062,12957.37,0.40560848,0.62155044,0.59496176,0.57458204,0.4892388,0.5599941
10,1,0.01,multi_output_tree,16608.33,55758.758,31481.426,27021.95,17193.62,29471.832,-0.8227623,0.11044343,0.05961951,0.00088838337,-0.26961237,0.0027188777
10,1,0.001,multi_output_tree,19013.713,62272.543,35278.44,30205.95,19369.02,32856.926,-1.0982592,0.0036492348,-0.05481584,-0.11757596,-0.43517178,-0.11286418
10,2,0.1,multi_output_tree,5201.672,19772.262,11230.307,7974.1704,6233.4146,8897.531,0.45033294,0.6864654,0.6615564,0.704631,0.5385078,0.6996744
10,2,0.01,multi_output_tree,16453.244,54846.656,30984.088,26341.457,16956.252,28699.129,-0.8073015,0.12409053,0.07418251,0.026441682,-0.25264812,0.02943759
10,2,0.001,multi_output_tree,18997.451,62191.637,35226.35,30128.375,19343.953,32768.477,-1.0965996,0.004889476,-0.053272627,-0.11472285,-0.43336955,-0.10987512
10,3,0.1,multi_output_tree,5132.1787,18756.916,10828.452,7086.9897,6109.259,7737.2373,0.4549831,0.7040591,0.67303324,0.7377782,0.54881465,0.7391103
10,3,0.01,multi_output_tree,16455.703,54633.7,30999.66,26148.238,16987.438,28466.812,-0.80941427,0.1268094,0.07363592,0.032952856,-0.25608897,0.036521196
10,3,0.001,multi_output_tree,18997.67,62156.23,35222.24,30097.152,19347.018,32734.074,-1.0968133,0.0054241777,-0.053159975,-0.11365285,-0.4336962,-0.10880814
10,5,0.1,multi_output_tree,5011.703,18475.838,11113.002,7325.8867,5879.374,8095.5093,0.46189958,0.7061385,0.6647115,0.7283494,0.5647023,0.72647494
10,5,0.01,multi_output_tree,16488.27,54406.855,30928.637,26141.66,16969.814,28459.166,-0.81311816,0.13111584,0.07579684,0.033446718,-0.25432438,0.037007164
10,5,0.001,multi_output_tree,19004.02,62146.668,35216.23,30094.438,19348.0,32729.354,-1.0976133,0.005611944,-0.052974045,-0.11351676,-0.43377885,-0.10860711
50,1,0.1,multi_output_tree,3039.229,11674.439,6935.449,4389.532,4041.2876,5092.008,0.68052405,0.8088525,0.7835892,0.83393115,0.68892705,0.8243165
50,1,0.01,multi_output_tree,9727.248,36398.707,20366.262,17355.25,10833.6045,19208.234,-0.037700973,0.4241171,0.39095122,0.35838562,0.2106371,0.35062742
50,1,0.001,multi_output_tree,17891.871,59230.617,33520.023,28751.025,18355.697,31309.775,-0.9698478,0.053445112,-0.0017739416,-0.063306734,-0.35804218,-0.059873033
50,2,0.1,multi_output_tree,2221.1873,9177.677,5869.176,2753.9172,2873.1147,2927.6758,0.75412625,0.85095346,0.8167095,0.8945632,0.7737176,0.89802456
50,2,0.01,multi_output_tree,9340.061,33221.676,18649.316,14865.537,10236.739,16305.7,-0.0054479716,0.4739058,0.44163886,0.45138216,0.24753852,0.45036188
50,2,0.001,multi_output_tree,17814.764,58811.562,33266.625,28393.166,18238.129,30901.594,-0.9621355,0.05980301,0.005648589,-0.050087463,-0.34967113,-0.046011817
50,3,0.1,multi_output_tree,1806.2457,9389.253,5624.921,2171.7466,2418.3083,2372.6616,0.80078155,0.84754544,0.82400453,0.91592866,0.81455743,0.9166557
50,3,0.01,multi_output_tree,9257.203,32036.693,18412.61,14361.307,10135.906,15688.644,-0.0008900285,0.48982668,0.44868785,0.47036323,0.25422084,0.47137365
50,3,0.001,multi_output_tree,17810.334,58642.137,33242.86,28264.188,18245.031,30757.074,-0.9625889,0.062321007,0.006352806,-0.045660757,-0.35061932,-0.041545548
50,5,0.1,multi_output_tree,1788.8834,9346.225,5737.047,2039.0293,2318.4722,2238.1243,0.80233955,0.8448345,0.82066727,0.91925895,0.8232492,0.9197003
50,5,0.01,multi_output_tree,9250.239,32112.12,18542.217,14458.464,9987.991,15793.873,-0.004093349,0.48900062,0.44524473,0.46625257,0.26517612,0.46733627
50,5,0.001,multi_output_tree,17836.412,58557.93,33227.63,28261.496,18249.348,30750.844,-0.96577704,0.06373741,0.0067449333,-0.045405436,-0.35096294,-0.041177582
100,1,0.1,multi_output_tree,2668.4058,10443.15,6240.798,3957.2703,3389.3425,4505.1006,0.7113873,0.82907474,0.8038847,0.85003364,0.73511523,0.844597
100,1,0.01,multi_output_tree,5964.2705,24712.389,14037.31,11848.201,7249.72,13384.747,0.38456845,0.6095515,0.57737094,0.56089103,0.47470894,0.546764
100,1,0.001,multi_output_tree,16618.836,55794.074,31502.438,27041.88,17204.178,29492.537,-0.8239911,0.109824456,0.058947623,0.00018510819,-0.27043247,0.0020438551
100,2,0.1,multi_output_tree,2077.1494,8594.724,5694.918,2619.2725,2532.9185,2753.0286,0.7712263,0.86050975,0.82145727,0.8992429,0.8021015,0.9037269
100,2,0.01,multi_output_tree,5452.1807,20446.793,11637.117,8283.215,6534.276,9177.191,0.42268997,0.6767689,0.64916295,0.69350356,0.51585823,0.6905033
100,2,0.001,multi_output_tree,16470.951,54886.125,31001.854,26360.4,16972.326,28719.95,-0.80929834,0.123471186,0.073645964,0.025740886,-0.25386605,0.02874335
100,3,0.1,multi_output_tree,1725.3307,9291.066,5625.747,2073.5889,2207.096,2273.3835,0.8090914,0.84934604,0.8233832,0.91925114,0.8312429,0.9195641
