target,n_estimators,max_depth,learning_rate,average_mse,average_r2
LBL_ALLminpA_fut_001,10,1,0.1,4481.008154296875,0.5588416576385498
LBL_ALLminpA_fut_001,10,1,0.01,9317.778125,0.0897019386291504
LBL_ALLminpA_fut_001,10,1,0.001,10258.52822265625,-0.005380809307098389
LBL_ALLminpA_fut_001,10,2,0.1,3826.1486328125,0.6162260413169861
LBL_ALLminpA_fut_001,10,2,0.01,9184.0173828125,0.10022410154342651
LBL_ALLminpA_fut_001,10,2,0.001,10241.17294921875,-0.003894996643066406
LBL_ALLminpA_fut_001,10,3,0.1,3847.273193359375,0.6062137603759765
LBL_ALLminpA_fut_001,10,3,0.01,9157.88349609375,0.1034579873085022
LBL_ALLminpA_fut_001,10,3,0.001,10240.29130859375,-0.0036417245864868164
LBL_ALLminpA_fut_001,10,5,0.1,3711.0545654296875,0.6246601104736328
LBL_ALLminpA_fut_001,10,5,0.01,9143.142578125,0.10566110610961914
LBL_ALLminpA_fut_001,10,5,0.001,10237.8751953125,-0.003332221508026123
LBL_ALLminpA_fut_001,50,1,0.1,2294.900048828125,0.7465686559677124
LBL_ALLminpA_fut_001,50,1,0.01,6536.1822265625,0.36237685680389403
LBL_ALLminpA_fut_001,50,1,0.001,9827.4029296875,0.0383078932762146
LBL_ALLminpA_fut_001,50,2,0.1,2031.5616455078125,0.7692800164222717
LBL_ALLminpA_fut_001,50,2,0.01,5956.626953125,0.4138221502304077
LBL_ALLminpA_fut_001,50,2,0.001,9749.53408203125,0.04475544691085816
LBL_ALLminpA_fut_001,50,3,0.1,2272.3669921875,0.7306448221206665
LBL_ALLminpA_fut_001,50,3,0.01,5889.421728515625,0.42257649898529054
LBL_ALLminpA_fut_001,50,3,0.001,9739.169921875,0.04620871543884277
LBL_ALLminpA_fut_001,50,5,0.1,2112.6657958984374,0.7581213593482972
LBL_ALLminpA_fut_001,50,5,0.01,6023.575048828125,0.4149953842163086
LBL_ALLminpA_fut_001,50,5,0.001,9734.537109375,0.047019016742706296
LBL_ALLminpA_fut_001,100,1,0.1,2151.9713134765625,0.7552929759025574
LBL_ALLminpA_fut_001,100,1,0.01,4549.66083984375,0.5520399570465088
LBL_ALLminpA_fut_001,100,1,0.001,9319.005859375,0.08956040143966675
LBL_ALLminpA_fut_001,100,2,0.1,2028.11953125,0.7662948369979858
LBL_ALLminpA_fut_001,100,2,0.01,3988.0800048828123,0.6000850915908813
LBL_ALLminpA_fut_001,100,2,0.001,9187.9130859375,0.09988167285919189
LBL_ALLminpA_fut_001,100,3,0.1,2293.9140869140624,0.7261201620101929
LBL_ALLminpA_fut_001,100,3,0.01,3958.96416015625,0.6028776645660401
LBL_ALLminpA_fut_001,100,3,0.001,9160.8685546875,0.10328216552734375
LBL_ALLminpA_fut_001,100,5,0.1,2104.3525634765624,0.7578959941864014
LBL_ALLminpA_fut_001,100,5,0.01,3878.79677734375,0.6102603197097778
LBL_ALLminpA_fut_001,100,5,0.001,9143.01748046875,0.10569425821304321
LBL_ALLminpA_fut_001,500,1,0.1,2230.9068603515625,0.740578007698059
LBL_ALLminpA_fut_001,500,1,0.01,2306.5908935546877,0.7451560139656067
LBL_ALLminpA_fut_001,500,1,0.001,6549.515576171875,0.36103761196136475
LBL_ALLminpA_fut_001,500,2,0.1,2086.840625,0.7603632807731628
LBL_ALLminpA_fut_001,500,2,0.01,2052.1466552734373,0.767935574054718
LBL_ALLminpA_fut_001,500,2,0.001,5964.587890625,0.41284836530685426
LBL_ALLminpA_fut_001,500,3,0.1,2321.0804931640623,0.7224038362503051
LBL_ALLminpA_fut_001,500,3,0.01,2176.940185546875,0.7458690166473388
LBL_ALLminpA_fut_001,500,3,0.001,5899.48251953125,0.4211651563644409
LBL_ALLminpA_fut_001,500,5,0.1,2103.1721435546874,0.7578288435935974
LBL_ALLminpA_fut_001,500,5,0.01,2172.223193359375,0.7531846523284912
LBL_ALLminpA_fut_001,500,5,0.001,6034.711181640625,0.41374874114990234
LBL_ALLminpA_fut_001,1000,1,0.1,2258.1738037109376,0.7363226175308227
LBL_ALLminpA_fut_001,1000,1,0.01,2189.9328857421874,0.7511397957801819
LBL_ALLminpA_fut_001,1000,1,0.001,4563.816064453125,0.5505701780319214
LBL_ALLminpA_fut_001,1000,2,0.1,2098.77392578125,0.7590561985969544
LBL_ALLminpA_fut_001,1000,2,0.01,2064.5534912109374,0.7637746810913086
LBL_ALLminpA_fut_001,1000,2,0.001,4000.2249267578127,0.5989100694656372
LBL_ALLminpA_fut_001,1000,3,0.1,2322.508154296875,0.7222456336021423
LBL_ALLminpA_fut_001,1000,3,0.01,2190.7490966796877,0.7427600026130676
LBL_ALLminpA_fut_001,1000,3,0.001,3973.1227783203126,0.6016485691070557
LBL_ALLminpA_fut_001,1000,5,0.1,2103.169482421875,0.7578293204307556
LBL_ALLminpA_fut_001,1000,5,0.01,2156.7099609375,0.7534666299819947
LBL_ALLminpA_fut_001,1000,5,0.001,3874.4858154296876,0.610891580581665
LBL_ALLminpA_fut_001,3000,1,0.1,2367.3392822265623,0.7241843342781067
LBL_ALLminpA_fut_001,3000,1,0.01,2228.23046875,0.7420442938804627
LBL_ALLminpA_fut_001,3000,1,0.001,2713.7375,0.7105585813522339
LBL_ALLminpA_fut_001,3000,2,0.1,2100.5870849609373,0.7588923215866089
LBL_ALLminpA_fut_001,3000,2,0.01,2097.1142578125,0.7599209070205688
LBL_ALLminpA_fut_001,3000,2,0.001,2186.854736328125,0.7594487071037292
LBL_ALLminpA_fut_001,3000,3,0.1,2322.4868408203124,0.7222493410110473
LBL_ALLminpA_fut_001,3000,3,0.01,2233.855029296875,0.7376448512077332
LBL_ALLminpA_fut_001,3000,3,0.001,2262.7775634765626,0.7437430024147034
LBL_ALLminpA_fut_001,3000,5,0.1,2103.169482421875,0.7578293204307556
LBL_ALLminpA_fut_001,3000,5,0.01,2155.559912109375,0.7535043120384216
LBL_ALLminpA_fut_001,3000,5,0.001,2329.402783203125,0.7427834510803223
LBL_ALLminp0_fut_001,10,1,0.1,23260.290625,0.6295985341072082
LBL_ALLminp0_fut_001,10,1,0.01,55351.01796875,0.11640018224716187
LBL_ALLminp0_fut_001,10,1,0.001,61990.3703125,0.008422839641571044
LBL_ALLminp0_fut_001,10,2,0.1,19177.9083984375,0.6910985469818115
LBL_ALLminp0_fut_001,10,2,0.01,54408.07109375,0.12960077524185182
LBL_ALLminp0_fut_001,10,2,0.001,61884.64921875,0.009939825534820557
LBL_ALLminp0_fut_001,10,3,0.1,18407.0111328125,0.7039790987968445
LBL_ALLminp0_fut_001,10,3,0.01,53562.80703125,0.14270280599594115
LBL_ALLminp0_fut_001,10,3,0.001,61803.028125,0.011188578605651856
LBL_ALLminp0_fut_001,10,5,0.1,18445.20234375,0.7019802451133728
LBL_ALLminp0_fut_001,10,5,0.01,53662.440625,0.14068357944488524
LBL_ALLminp0_fut_001,10,5,0.001,61798.6390625,0.011172068119049073
LBL_ALLminp0_fut_001,50,1,0.1,10877.874609375,0.822248888015747
LBL_ALLminp0_fut_001,50,1,0.01,35699.01484375,0.4336442708969116
LBL_ALLminp0_fut_001,50,1,0.001,58910.8609375,0.05853849649429321
LBL_ALLminp0_fut_001,50,2,0.1,10291.471484375,0.8292163133621215
LBL_ALLminp0_fut_001,50,2,0.01,32264.50546875,0.48290435075759885
LBL_ALLminp0_fut_001,50,2,0.001,58418.95703125,0.06532886028289794
LBL_ALLminp0_fut_001,50,3,0.1,11210.33115234375,0.8173767328262329
LBL_ALLminp0_fut_001,50,3,0.01,30787.18984375,0.5035534620285034
LBL_ALLminp0_fut_001,50,3,0.001,57980.30078125,0.07224308252334595
LBL_ALLminp0_fut_001,50,5,0.1,11294.8650390625,0.8153616309165954
LBL_ALLminp0_fut_001,50,5,0.01,31080.876953125,0.49970446825027465
LBL_ALLminp0_fut_001,50,5,0.001,58014.6390625,0.07139126062393189
LBL_ALLminp0_fut_001,100,1,0.1,10419.42734375,0.8283087134361267
LBL_ALLminp0_fut_001,100,1,0.01,23898.353125,0.6203405380249023
LBL_ALLminp0_fut_001,100,1,0.001,55388.39140625,0.1158208966255188
