n_estimators,max_depth,learning_rate,multi_task_strategy,mse_0,mse_1,mse_2,mse_3,mse_4,mse_5,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5
10,1,0.1,multi_output_tree,5800.244896326816,23994.397168419604,13442.851977371,11444.871121919668,7066.914717942423,12956.287564041108,0.40406622319386754,0.6214641719930627,0.594910820135833,0.5746826632648989,0.4888868835310948,0.5600259242824156
10,1,0.01,multi_output_tree,16691.34238304436,55785.2203331452,31491.414871061173,27003.75680897967,17221.389650302553,29465.262550940002,-0.8326977927809118,0.11000306021733552,0.05931869143869486,0.0015410639188913945,-0.27187669123227093,0.002931081452162143
10,1,0.001,multi_output_tree,19113.33067979435,62303.042027932956,35290.26837812778,30184.3477552668,19402.39093462824,32849.12929900149,-1.1101356951517458,0.0031403752942203546,-0.05517243116392449,-0.11679766078610317,-0.4378790875373356,-0.11261075751961633
10,2,0.1,multi_output_tree,5214.008837474974,19778.281422736713,11232.043592316903,7971.044965925025,6237.516100039015,8896.393263616057,0.44878615610752126,0.6863672169660703,0.6615047520389923,0.7047391016842036,0.5381510481834585,0.6997089954385417
10,2,0.01,multi_output_tree,16536.336733205004,54873.1636273067,30994.083799880813,26323.238322054163,16984.061659204213,28692.554355704226,-0.8172425913673141,0.12364938005523878,0.07388153607044445,0.027096339919876256,-0.25491450195155463,0.029650366734899493
10,2,0.001,multi_output_tree,19097.089298906594,62222.111540813734,35238.165443496466,30106.768860282307,19377.33817796605,32760.67641539476,-1.108477305054945,0.004381045478084889,-0.05362887665727985,-0.11394429516978781,-0.43607736330117514,-0.109621427419169
10,3,0.1,multi_output_tree,5144.8610707007865,18763.782031539704,10830.395345856647,7083.584200298387,6113.433832288033,7736.001449475365,0.4533910867187383,0.7039483226399436,0.672974915396872,0.7378972983911627,0.5484527528972601,0.7391483928916279
10,3,0.01,multi_output_tree,16538.820230696238,54660.9148266637,31009.808495108922,26129.8019525572,17015.208015004457,28460.153871143597,-0.8193544196367701,0.12635529081441832,0.07333043341687573,0.03361607389652945,-0.25835209012322913,0.036737194367151706
10,3,0.001,multi_output_tree,19097.309011441026,62186.77110969541,35234.06993793387,30075.52740178001,19380.395074552238,32726.273252821276,-1.1086911873693068,0.004914640382992053,-0.053516750015352124,-0.11287345665128685,-0.43640366408376446,-0.10855442318424577
10,5,0.1,multi_output_tree,5025.357130117702,18483.17675545082,11115.343995376608,7321.992189059293,5883.823193031181,8094.0916894362545,0.4601871672685681,0.706023751736778,0.6646414288920526,0.7284861304460388,0.5643152262552376,0.7265190259213312
10,5,0.01,multi_output_tree,16572.51670539657,54433.961914195985,30940.251867735526,26123.02314228063,16998.795880095568,28451.61835023535,-0.8232281174453581,0.1306660162774137,0.07544138559748555,0.03411727838387688,-0.25671594496448014,0.03725923823414097
10,5,0.001,multi_output_tree,19103.553704590933,62175.5130154107,35226.96270982346,30071.987005372917,19381.21393037176,32720.66077769897,-1.1094764882790589,0.005128755522606587,-0.053293607913965355,-0.11270508774440877,-0.4364725827285826,-0.10832127651025258
50,1,0.1,multi_output_tree,3039.219124260847,11674.490030593308,6935.457176860643,4389.525108347204,4041.2821965047515,5092.006146940968,0.6805222237407913,0.8088519700280218,0.7835889491690484,0.8339312756388233,0.6889267718908869,0.8243165120380658
50,1,0.01,multi_output_tree,9764.155570056051,36412.4571885113,20370.992146242643,17346.78845646124,10845.84270316289,19205.187357821236,-0.04219911920669241,0.4238927340227134,0.39080884879640887,0.3586829970396578,0.20961616108486564,0.3507227542936497
50,1,0.001,multi_output_tree,17983.75509362426,59259.3340288442,33531.00092081609,28730.99227222099,18386.455596260952,31302.545282734314,-0.9808205224662094,0.05296618527494286,-0.0021046246643498636,-0.0625862989588412,-0.36054293070653987,-0.05963854930337311
