target,n_estimators,max_depth,learning_rate,average_mse,average_r2
Y1,10,1,0.1,31.2632958811011,0.6904617224380647
Y1,10,1,0.01,87.41900866087872,0.1337087089062052
Y1,10,1,0.001,100.47272799129254,0.004055448467290557
Y1,10,2,0.1,20.962518900507124,0.7925012196078404
Y1,10,2,0.01,85.70484028050348,0.15056576013180242
Y1,10,2,0.001,100.28349888349314,0.005913482708595241
Y1,10,3,0.1,16.81622177730467,0.8336007562703853
Y1,10,3,0.01,84.82180813662997,0.15931814948280987
Y1,10,3,0.001,100.19093239260296,0.006829946898698003
Y1,10,5,0.1,14.279681791305268,0.8586943049163844
Y1,10,5,0.01,84.31007890017001,0.16434305494590257
Y1,10,5,0.001,100.13394437078415,0.007389250939644621
Y1,50,1,0.1,7.8769214453728695,0.9220345851318719
Y1,50,1,0.01,51.015741217350055,0.4949527785460317
Y1,50,1,0.001,94.40879512919919,0.06428925054066922
Y1,50,2,0.1,1.6440472977620924,0.9837511497031357
Y1,50,2,0.01,44.68639141526821,0.5573922199269091
Y1,50,2,0.001,93.5008576957695,0.07321285869977101
Y1,50,3,0.1,0.5638551979427449,0.9944278253145192
Y1,50,3,0.01,41.369214962304014,0.5902636234031869
Y1,50,3,0.001,93.0594702804604,0.07758772207201974
Y1,50,5,0.1,0.21582478386900986,0.9978791095475282
Y1,50,5,0.01,39.38578351787025,0.6099135105379241
Y1,50,5,0.001,92.79287000782696,0.08019749229059978
Y1,100,1,0.1,4.286214168314382,0.9574718780886396
Y1,100,1,0.01,32.26444618052131,0.6805754634376979
Y1,100,1,0.001,87.47847368267817,0.13311816803583448
Y1,100,2,0.1,0.38708548863945785,0.9961814234023061
Y1,100,2,0.01,22.241444844430287,0.7798217621803175
Y1,100,2,0.001,85.76703644850349,0.14995277409986918
Y1,100,3,0.1,0.22950752691258253,0.9977422844882101
Y1,100,3,0.01,18.09307663444519,0.8209373768325902
Y1,100,3,0.001,84.89475139024991,0.15859855970480713
Y1,100,5,0.1,0.14869216831834964,0.9985334118495153
Y1,100,5,0.01,15.548231342535473,0.8461176071606946
Y1,100,5,0.001,84.3858454124959,0.16358915611170613
Y1,500,1,0.1,1.2991584274223615,0.9870761381982088
Y1,500,1,0.01,8.25801678013774,0.918245101895943
Y1,500,1,0.001,51.14951562325486,0.49362669138971355
Y1,500,2,0.1,0.2002081997107133,0.998027253752249
Y1,500,2,0.01,1.6960378555010074,0.9832108908140436
Y1,500,2,0.001,44.83784477971371,0.5558935428132474
Y1,500,3,0.1,0.15028695308647413,0.9985214823309873
Y1,500,3,0.01,0.6280637274775411,0.9937967678392979
Y1,500,3,0.001,41.5322772004308,0.5886445726149211
Y1,500,5,0.1,0.1257138159432192,0.9987463920422164
Y1,500,5,0.01,0.22120656978549746,0.9978258516148119
Y1,500,5,0.001,39.54876284568944,0.6082973986176425
Y1,1000,1,0.1,1.094815628828091,0.9890896013138949
Y1,1000,1,0.01,4.433274493097107,0.9560262634924088
Y1,1000,1,0.001,32.362954923461245,0.6796024544256452
Y1,1000,2,0.1,0.1915872911883136,0.9981126904167967
Y1,1000,2,0.01,0.4081730389038998,0.995971214234397
Y1,1000,2,0.001,22.365318131532014,0.7785969616557854
Y1,1000,3,0.1,0.14241263999599743,0.9985962084417483
Y1,1000,3,0.01,0.23665090595344668,0.9976671034184601
Y1,1000,3,0.001,18.214633230863743,0.8197325983809691
Y1,1000,5,0.1,0.1317419696626741,0.9986840734095109
Y1,1000,5,0.01,0.15017211477423573,0.9985159392949207
Y1,1000,5,0.001,15.674556009104965,0.8448672354675605
Y2,10,1,0.1,26.8618359780983,0.7010910175689661
Y2,10,1,0.01,77.5142627297837,0.1363090645918781
Y2,10,1,0.001,89.28707858880831,0.004878100165303478
Y2,10,2,0.1,19.715654766674966,0.7804553760977652
Y2,10,2,0.01,76.2612631132476,0.1501635882636438
Y2,10,2,0.001,89.15523731302461,0.006332106331256626
Y2,10,3,0.1,16.987278324600503,0.8106517754971018
