n_estimators,max_depth,learning_rate,multi_task_strategy,mse_0,mse_1,mse_2,r2_0,r2_1,r2_2
10,1,0.1,multi_output_tree,0.7761176708066201,0.6683294311586945,0.7210245615704398,0.2196323624556813,0.31900284539713447,0.2938265028349249
10,1,0.1,one_output_per_tree,0.7000046133981195,0.5435887221971101,0.5469577566520163,0.29852457277209393,0.4437606385961196,0.46908559950246714
10,1,0.01,multi_output_tree,0.9607333847643705,0.9346856651100424,0.9811280270948423,0.031285417123237534,0.04708852273784074,-0.00031210327070585464
10,1,0.01,one_output_per_tree,0.9510297247513195,0.9119426380442356,0.9155201216733119,0.04150760722795146,0.06954607045014283,0.0685669648212552
10,1,0.001,multi_output_tree,0.9965563569025498,0.9937804201546921,0.9984812405875395,-0.005790782514697401,-0.013609443237271136,-0.021318618865346074
10,1,0.001,one_output_per_tree,0.9954933545025009,0.9913158434361904,0.9910182353934053,-0.0046828124212833,-0.011219338315792981,-0.01348510378519463
10,2,0.1,multi_output_tree,0.688020677536098,0.5364420188718072,0.5283077831036943,0.3092189173740594,0.4516388611231486,0.5062415083266774
10,2,0.1,one_output_per_tree,0.6291330192614731,0.4675056696454452,0.46349497988753346,0.37287940316434953,0.5220214706876225,0.5616158948799808
10,2,0.01,multi_output_tree,0.9550922827756045,0.9082314229594806,0.9179299526242785,0.03741303747571525,0.07326969771069566,0.07357404670684937
10,2,0.01,one_output_per_tree,0.9349732737244478,0.8959254991460132,0.8976402580885929,0.057629977737160186,0.08576183999588431,0.08870781137102542
10,2,0.001,multi_output_tree,0.9962345923311927,0.9911400958879749,0.9913261717707726,-0.005469990057228702,-0.011038655500581297,-0.013078076308463938
10,2,0.001,one_output_per_tree,0.9936551668934896,0.9897472106488563,0.98905094752848,-0.002869106046469794,-0.009615402601738033,-0.011269672206832504
10,3,0.1,multi_output_tree,0.6272082733122604,0.5007658267132952,0.4937506838824065,0.3692679317288315,0.48813620596351326,0.542971230001155
10,3,0.1,one_output_per_tree,0.5710052901853496,0.43961202921026155,0.47214786743037457,0.4308483049043512,0.550475463875615,0.5659189333997944
10,3,0.01,multi_output_tree,0.9338169983075802,0.9061476654115896,0.9083395274366681,0.05907844068667532,0.07531882180704079,0.0803503024858431
10,3,0.01,one_output_per_tree,0.9184075768965452,0.8890879255529844,0.9028067192990188,0.07431422815724349,0.09277677384585045,0.08925601588551672
10,3,0.001,multi_output_tree,0.9935288059361014,0.9910808667318507,0.9901687426264196,-0.0026375705278062654,-0.010988605508455129,-0.012115535701348823
10,3,0.001,one_output_per_tree,0.9917815395224663,0.9891202391547607,0.9897425546603745,-0.0009540722317842975,-0.008967621931312241,-0.011338458159896337
10,5,0.1,multi_output_tree,0.5861339589042074,0.4556169821582399,0.4934412000085544,0.41244165708593494,0.5356944973356776,0.5595807645188565
10,5,0.1,one_output_per_tree,0.5440535025166348,0.37314008379504293,0.4549615235264522,0.45982305005200474,0.6178324893835176,0.5890815014412545
10,5,0.01,multi_output_tree,0.9246741064264559,0.9005677970908812,0.908632032155225,0.06858565792218192,0.0811737355129788,0.08683137831780592
10,5,0.01,one_output_per_tree,0.9084799036706264,0.8760681946791392,0.8970949327034926,0.0850154987012818,0.10589075919367848,0.09734220971487909
10,5,0.001,multi_output_tree,0.992111530030124,0.9904974223698779,0.9904517603925891,-0.0012631159441414796,-0.010378161477944814,-0.011671933215744824
10,5,0.001,one_output_per_tree,0.9908291730155021,0.9874802471518732,0.9891259073724067,7.89730519317633e-05,-0.007307151766083519,-0.010470115292606974
10,10,0.1,multi_output_tree,0.5988407192136802,0.4553432451048039,0.5170937392908491,0.3997436866571421,0.5349889197188334,0.5386092748524546
10,10,0.1,one_output_per_tree,0.5645989482140635,0.37495082933285645,0.47479076959935484,0.4380768910067358,0.6152650814094562,0.5670638863028679
10,10,0.01,multi_output_tree,0.9253407319107273,0.8942425835888554,0.9070531687339163,0.06743884599869095,0.08751396438731276,0.08831972797569525
10,10,0.01,one_output_per_tree,0.9065497274787532,0.8720512476982719,0.8991427006218521,0.08772493385993267,0.10996658378021444,0.09496450641368612
10,10,0.001,multi_output_tree,0.9925737189631357,0.9898927368642895,0.9903825523992931,-0.0018255687502990669,-0.009768019606475331,-0.01162624349344532
10,10,0.001,one_output_per_tree,0.9906407719587449,0.9868911244530526,0.9892615593151575,0.00031461586755596736,-0.006710807045003486,-0.01064711942440022
50,1,0.1,multi_output_tree,0.5813160597361027,0.44504833745442607,0.414744806950371,0.41210286491011255,0.5453154159303313,0.6192800248790729
50,1,0.1,one_output_per_tree,0.5118955611007937,0.35901169750341194,0.35155996012712565,0.48766242423818706,0.6328048889256024,0.6854987148431999
50,1,0.01,multi_output_tree,0.8513688416061062,0.7792466941125876,0.872862813540156,0.14314207135375473,0.20593534590118717,0.1262490328757389
50,1,0.01,one_output_per_tree,0.8032218517415698,0.682565654333581,0.6919653035235737,0.19363910173279708,0.3026090395910368,0.312087812447324
50,1,0.001,multi_output_tree,0.9804237038056117,0.9658716215509641,0.9913078244401399,0.010922166261980126,0.01514698743559022,-0.012058952687125136
50,1,0.001,one_output_per_tree,0.9750797708258061,0.9541791611945827,0.9560406873102275,0.016565246871083274,0.02655849022178014,0.024530031417687635
50,2,0.1,multi_output_tree,0.46298147122360406,0.35349029246462166,0.35708123493493316,0.5293311470476096,0.6391809649419097,0.6866195759459462
50,2,0.1,one_output_per_tree,0.4846994698998195,0.31502953205065776,0.3252282160857993,0.515399945108922,0.6780444723286427,0.7094379011646869
50,2,0.01,multi_output_tree,0.803849252774841,0.6752420752467749,0.6780695620921856,0.19353935864690863,0.310519198561766,0.3433371801346392
50,2,0.01,one_output_per_tree,0.7550718681437625,0.6333486048945398,0.6345365567546246,0.24239279916727083,0.3529415727287183,0.3782609424526667
50,2,0.001,multi_output_tree,0.9786498353567914,0.9524936139634438,0.9576085473170552,0.012568922826461404,0.028238336997900505,0.026679888061361522
50,2,0.001,one_output_per_tree,0.9668645317671272,0.9460244707113338,0.9465343412236458,0.024651510864212623,0.03483675172197145,0.03520642819271667
