target,n_estimators,max_depth,learning_rate,average_mse,average_r2
Cd,10,1,0.1,0.5166033556873169,0.2985662146026017
Cd,10,1,0.01,0.7018004820634381,0.04163302540703866
Cd,10,1,0.001,0.734623894532124,-0.004579253061373034
Cd,10,2,0.1,0.4643024439994264,0.37290803272251766
Cd,10,2,0.01,0.6899678947017408,0.057724276966953016
Cd,10,2,0.001,0.733269994819312,-0.0027706065148749514
Cd,10,3,0.1,0.42139902984731525,0.4308833166125076
Cd,10,3,0.01,0.6777413078589234,0.07441018311947427
Cd,10,3,0.001,0.7318821045650525,-0.0008461187430997442
Cd,10,5,0.1,0.40119278827740157,0.4604627961022363
Cd,10,5,0.01,0.6703839654284093,0.08516815137849143
Cd,10,5,0.001,0.7311815585399536,0.0001819399601570293
Cd,50,1,0.1,0.37780366022373546,0.4876630183538673
Cd,50,1,0.01,0.5927373572979621,0.19374414812789342
Cd,50,1,0.001,0.7195550326980067,0.016678431662800343
Cd,50,2,0.1,0.3577329182044463,0.5153998131033877
Cd,50,2,0.01,0.5572310640409901,0.2424405057120979
Cd,50,2,0.001,0.713502664410882,0.02474506447797815
Cd,50,3,0.1,0.3488156488815222,0.523578231919992
Cd,50,3,0.01,0.5194760773531167,0.29487722391243076
Cd,50,3,0.001,0.7071037747966938,0.033490547145564986
Cd,50,5,0.1,0.339007957732403,0.5364869405261222
Cd,50,5,0.01,0.5033949912482899,0.31893798837507287
Cd,50,5,0.001,0.7033212819974113,0.03900472169193834
Cd,100,1,0.1,0.3560041001600086,0.5152785603250617
Cd,100,1,0.01,0.520812188034232,0.2931643830145588
Cd,100,1,0.001,0.7018332050094764,0.04159582052480078
Cd,100,2,0.1,0.3650867005203821,0.5011465200073144
Cd,100,2,0.01,0.46701447467932067,0.369213380876966
Cd,100,2,0.001,0.6903408445472365,0.057096691316023684
Cd,100,3,0.1,0.3548875289655498,0.5124661125655322
Cd,100,3,0.01,0.42836207452978126,0.4217826688279184
Cd,100,3,0.001,0.6785122537995436,0.07343289864297926
Cd,100,5,0.1,0.3370419135154396,0.5393191779566326
Cd,100,5,0.01,0.4060711880237918,0.45400983421474894
Cd,100,5,0.001,0.6708117024547686,0.08450873523665585
Cd,500,1,0.1,0.3483393129470197,0.5191119907053112
Cd,500,1,0.01,0.38049090990540757,0.4841747976445786
Cd,500,1,0.001,0.5930933146345644,0.19321370052139838
Cd,500,2,0.1,0.3920430619989917,0.45118309369315346
Cd,500,2,0.01,0.35889591099011053,0.5127296966502696
Cd,500,2,0.001,0.5575886895132338,0.24196165666465647
Cd,500,3,0.1,0.3668604658631035,0.4885908424307207
Cd,500,3,0.01,0.34459850502116185,0.5313238064211478
Cd,500,3,0.001,0.5202407080245331,0.29377506136657605
Cd,500,5,0.1,0.3377438109596305,0.5370822055331337
Cd,500,5,0.01,0.3416097467177871,0.5347568054019287
Cd,500,5,0.001,0.5035953098790606,0.31844363838510165
Cd,1000,1,0.1,0.34991991576327325,0.5149152462732435
Cd,1000,1,0.01,0.3576789012962905,0.5132253629174803
Cd,1000,1,0.001,0.5215349880384733,0.2922315284379414
Cd,1000,2,0.1,0.40782199866396923,0.4237649902218644
Cd,1000,2,0.01,0.3645416082250704,0.5025397026247743
Cd,1000,2,0.001,0.4671983837912963,0.3688363224055164
Cd,1000,3,0.1,0.370585427717567,0.4824227580158599
Cd,1000,3,0.01,0.3431025398319977,0.5310511188299419
Cd,1000,3,0.001,0.428696435327874,0.42134270842913013
Cd,1000,5,0.1,0.33774332921060746,0.5370831450972761
Cd,1000,5,0.01,0.3400343288835975,0.5359381211127356
Cd,1000,5,0.001,0.4072521119919343,0.4523073060503096
Cd,3000,1,0.1,0.37220360709032974,0.48025079495110184
Cd,3000,1,0.01,0.3505738623296127,0.5179014217608697
Cd,3000,1,0.001,0.41140897436264623,0.44243981505652064
Cd,3000,2,0.1,0.4217665343166789,0.40164049936916707
Cd,3000,2,0.01,0.3746536483972623,0.47963516414232393
Cd,3000,2,0.001,0.3713792938538426,0.4970866838102889
Cd,3000,3,0.1,0.3709493011283766,0.4817022861286032
Cd,3000,3,0.01,0.36079080081332054,0.49896383055081495
Cd,3000,3,0.001,0.3516045249819213,0.5223637273300052
Cd,3000,5,0.1,0.33774332921060746,0.5370831450972761
Cd,3000,5,0.01,0.3427032738002792,0.5310156502045831
Cd,3000,5,0.001,0.34600353425182406,0.5299382596304834
