target,n_estimators,max_depth,learning_rate,average_mse,average_r2
Cd,10,1,0.1,0.516603363738395,0.29856621050734294
Cd,10,1,0.01,0.7018004700519596,0.04163304349777439
Cd,10,1,0.001,0.7346238841207394,-0.00457924545027597
Cd,10,2,0.1,0.4643024528632636,0.37290801838749055
Cd,10,2,0.01,0.6899678966727067,0.05772427847833457
Cd,10,2,0.001,0.7332699549562582,-0.002770548672791984
Cd,10,3,0.1,0.42139903410064317,0.4308833101749129
Cd,10,3,0.01,0.6777412970715324,0.07441019591513073
Cd,10,3,0.001,0.7318821014550746,-0.0008461149227918519
Cd,10,5,0.1,0.4011927755942445,0.4604628183424289
Cd,10,5,0.01,0.6703839643481173,0.08516815686553063
Cd,10,5,0.001,0.7311815550443749,0.0001819462672147054
Cd,50,1,0.1,0.3778036687216735,0.48766301163664433
Cd,50,1,0.01,0.5927373157171925,0.19374419564339462
Cd,50,1,0.001,0.7195549858023811,0.016678483941503553
Cd,50,2,0.1,0.35773290515821543,0.5153998284274566
Cd,50,2,0.01,0.5572310522682296,0.24244053473604862
Cd,50,2,0.001,0.7135026464912385,0.024745078402495336
Cd,50,3,0.1,0.3488156654584236,0.5235782169620925
Cd,50,3,0.01,0.5194760622182977,0.2948772330181068
Cd,50,3,0.001,0.7071036824930725,0.03349069581251527
Cd,50,5,0.1,0.3390079532664607,0.5364869629798138
Cd,50,5,0.01,0.5033949991603933,0.31893798199022055
Cd,50,5,0.001,0.7033213256064947,0.039004673129544455
Cd,100,1,0.1,0.3560041558974115,0.515278486945532
Cd,100,1,0.01,0.5208121571248239,0.29316442646480556
Cd,100,1,0.001,0.7018330233127779,0.041596046342598794
Cd,100,2,0.1,0.3650866626424055,0.501146565833431
Cd,100,2,0.01,0.467014481494453,0.36921338099442014
Cd,100,2,0.001,0.6903408916394093,0.057096604479713944
Cd,100,3,0.1,0.3548875121086518,0.5124661361595029
Cd,100,3,0.01,0.4283620818078943,0.4217826562760763
Cd,100,3,0.001,0.6785121761703328,0.07343303299728846
Cd,100,5,0.1,0.3370419339756432,0.5393191684186964
Cd,100,5,0.01,0.4060711950583169,0.4540098202112091
Cd,100,5,0.001,0.6707973241110804,0.08453129639552515
Cd,500,1,0.1,0.34833945106107284,0.5191118007564834
Cd,500,1,0.01,0.3804910093096785,0.48417467155148763
Cd,500,1,0.001,0.5930930802519205,0.19321399571385178
Cd,500,2,0.1,0.3920430387968198,0.45118311691560464
Cd,500,2,0.01,0.35889592813944404,0.5127296993577369
