n_estimators,max_depth,learning_rate,average_mse,average_r2
10,1,0.1,0.5484368421152737,0.4676850366734205
10,1,0.01,0.9199275288115395,0.06396481848219164
10,1,0.001,0.9959248693175933,-0.018661693404532876
10,2,0.1,0.46486147887211093,0.5604207890294308
10,2,0.01,0.9019540456000241,0.08423349162162637
10,2,0.001,0.9939452459570093,-0.01643086075125675
10,3,0.1,0.4714104162902948,0.5659653654462666
10,3,0.01,0.9076112992506914,0.0845023587392709
10,3,0.001,0.99466709181334,-0.016515187788043662
10,5,0.1,0.4561138712866831,0.5875966550441077
10,5,0.01,0.901777617512507,0.09263863773723457
10,5,0.001,0.9940481834257564,-0.015644953867982415
50,1,0.1,0.3513520445708812,0.6856701948843501
50,1,0.01,0.6946504062845665,0.3093837204624489
50,1,0.001,0.9607189001119509,0.01961747656212698
50,2,0.1,0.3237970582134456,0.7103237821280416
50,2,0.01,0.6368828104538956,0.37599425649006896
50,2,0.001,0.9511585006344653,0.030361584099058026
50,3,0.1,0.3387200652496166,0.7032866082000134
50,3,0.01,0.6450611468172535,0.3807383776869894
50,3,0.001,0.9543259610503949,0.03036762517256355
50,5,0.1,0.32946847097699566,0.7076285279091097
50,5,0.01,0.6344767705027093,0.3965495658773864
50,5,0.001,0.9512061807165211,0.03467756335393364
100,1,0.1,0.3349541999307993,0.7034357350450968
100,1,0.01,0.5596451266124989,0.4571026960265666
100,1,0.001,0.9203147587109962,0.0635175265995956
100,2,0.1,0.31962149328023304,0.7067363086425384
100,2,0.01,0.4732119830083043,0.5517723721632269
100,2,0.001,0.9023282858679484,0.08380556737054216
100,3,0.1,0.33882165416190924,0.7014987096029501
100,3,0.01,0.4748977964372636,0.5650269179348781
100,3,0.001,0.90791972030164,0.08410755133429468
100,5,0.1,0.3337428419403589,0.7010556060145439
100,5,0.01,0.4620319034665773,0.582152541623914
100,5,0.001,0.9020828162806118,0.09226611500672162
500,1,0.1,0.3261305976448919,0.7077126422893204
500,1,0.01,0.3552642046454606,0.681881095501959
500,1,0.001,0.6956130804858404,0.3083134443950729
500,2,0.1,0.3460573626009832,0.6657417594236432
500,2,0.01,0.32806819379078017,0.7078199416068413
500,2,0.001,0.6379836195293802,0.37493830972285974
500,3,0.1,0.33921356423625915,0.6999845169097751
500,3,0.01,0.3400987085451816,0.70539642243596
500,3,0.001,0.6457934361493167,0.37992782338266184
500,5,0.1,0.33569205326553964,0.6982529925102399
500,5,0.01,0.31863435430275444,0.723825874485345
500,5,0.001,0.6353860561334924,0.3954696204179666
1000,1,0.1,0.32152472042249863,0.7088233702692656
1000,1,0.01,0.3370554801020139,0.7018106156946002
1000,1,0.001,0.5601785301823266,0.45649378145968
1000,2,0.1,0.34942353123687786,0.6614900180316761
1000,2,0.01,0.32169022926066265,0.7088223601447068
1000,2,0.001,0.4746132871701379,0.5505561935903367
1000,3,0.1,0.3396470145302234,0.6993899794855853
1000,3,0.01,0.3421276931852161,0.7017113411693028
1000,3,0.001,0.4752302738248389,0.564527045903062
1000,5,0.1,0.3356920591716603,0.6982529867315279
1000,5,0.01,0.3219489407351536,0.7193719699100232
1000,5,0.001,0.46232794511633113,0.5821206284637572
